scenario,type,method,domain,url_redacted
doradobet_home_mobile,Image,GET,sync.1rx.io,https://sync.1rx.io/usersync/criteodsp/k-aRrobdIXaGZhOBWFBvCjMmxGCpqgANnT-88sXg
doradobet_home_mobile,Image,GET,dis.criteo.com,https://dis.criteo.com/dis/rtb/appnexus/cookiematch.aspx?appnxsid=6271551189862581648
doradobet_home_mobile,Image,GET,dis.criteo.com,https://dis.criteo.com/dis/rtb/appnexus/cookiematch.aspx?appnxsid=6271551189862581648
doradobet_home_mobile,Image,GET,ib.adnxs.com,https://ib.adnxs.com/setuid?entity=52&code=k-wFAwHtIXaGZhOBWFBvCjMmxGCppa9zJABS7pBg
doradobet_home_mobile,Image,GET,dis.criteo.com,https://dis.criteo.com/dis/rtb/appnexus/cookiematch.aspx?appnxsid=6271551189862581648
doradobet_home_mobile,Image,GET,dis.criteo.com,https://dis.criteo.com/dis/rtb/google/cookiematch.aspx?id=&CriteoUserId=[REDACTED]&google_error=3
doradobet_home_mobile,Image,GET,ib.adnxs.com,https://ib.adnxs.com/setuid?entity=52&code=k-wFAwHtIXaGZhOBWFBvCjMmxGCppa9zJABS7pBg
doradobet_home_mobile,Image,GET,dis.criteo.com,https://dis.criteo.com/dis/rtb/appnexus/cookiematch.aspx?appnxsid=6271551189862581648
doradobet_home_mobile,Image,GET,ib.adnxs.com,https://ib.adnxs.com/setuid?entity=52&code=k-wFAwHtIXaGZhOBWFBvCjMmxGCppa9zJABS7pBg
doradobet_home_mobile,Image,GET,dis.criteo.com,https://dis.criteo.com/dis/rtb/appnexus/cookiematch.aspx?appnxsid=6271551189862581648
doradobet_home_mobile,Image,GET,ib.adnxs.com,https://ib.adnxs.com/setuid?entity=52&code=k-wFAwHtIXaGZhOBWFBvCjMmxGCppa9zJABS7pBg
doradobet_home_mobile,Image,GET,dis.criteo.com,https://dis.criteo.com/dis/rtb/appnexus/cookiematch.aspx?appnxsid=6271551189862581648
doradobet_home_mobile,Image,GET,gum.criteo.com,https://gum.criteo.com/sync?c=9&r=1&a=1&u=https%3A%2F%2Faa.agkn.com%2Fadscores%2Fg.pixel%3Fsid%3D9212273938%26ct%3D%40USERID%40
doradobet_home_mobile,Image,GET,ib.adnxs.com,https://ib.adnxs.com/setuid?entity=52&code=k-wFAwHtIXaGZhOBWFBvCjMmxGCppa9zJABS7pBg
doradobet_home_mobile,Image,GET,ib.adnxs.com,https://ib.adnxs.com/setuid?entity=52&code=k-wFAwHtIXaGZhOBWFBvCjMmxGCppa9zJABS7pBg
doradobet_home_mobile,Image,GET,dis.criteo.com,https://dis.criteo.com/dis/rtb/google/cookiematch.aspx?id=&CriteoUserId=[REDACTED]&google_error=3
doradobet_home_mobile,Image,GET,gum.criteo.com,https://gum.criteo.com/sync?c=9&r=1&a=1&u=https%3A%2F%2Faa.agkn.com%2Fadscores%2Fg.pixel%3Fsid%3D9212273938%26ct%3D%40USERID%40
doradobet_home_mobile,Image,GET,dis.criteo.com,https://dis.criteo.com/dis/rtb/google/cookiematch.aspx?id=&CriteoUserId=[REDACTED]&google_error=3
doradobet_home_mobile,Image,GET,gum.criteo.com,https://gum.criteo.com/sync?c=9&r=1&a=1&u=https%3A%2F%2Faa.agkn.com%2Fadscores%2Fg.pixel%3Fsid%3D9212273938%26ct%3D%40USERID%40
doradobet_home_mobile,Image,GET,sync.1rx.io,https://sync.1rx.io/usersync/criteodsp/k-aRrobdIXaGZhOBWFBvCjMmxGCpqgANnT-88sXg?zcc=1&cb=1780274294886
doradobet_home_mobile,Image,GET,dis.criteo.com,https://dis.criteo.com/dis/rtb/google/cookiematch.aspx?id=&CriteoUserId=[REDACTED]&google_error=3
doradobet_home_mobile,Image,GET,gum.criteo.com,https://gum.criteo.com/sync?c=9&r=1&a=1&u=https%3A%2F%2Faa.agkn.com%2Fadscores%2Fg.pixel%3Fsid%3D9212273938%26ct%3D%40USERID%40
doradobet_home_mobile,Image,GET,sync.1rx.io,https://sync.1rx.io/usersync/criteodsp/k-aRrobdIXaGZhOBWFBvCjMmxGCpqgANnT-88sXg?zcc=1&cb=1780274295029
doradobet_home_mobile,Image,GET,dis.criteo.com,https://dis.criteo.com/dis/rtb/google/cookiematch.aspx?id=&CriteoUserId=[REDACTED]&google_error=3
doradobet_home_mobile,Image,GET,sync.1rx.io,https://sync.1rx.io/usersync/criteodsp/k-aRrobdIXaGZhOBWFBvCjMmxGCpqgANnT-88sXg?zcc=1&cb=1780274295201
doradobet_home_mobile,Image,GET,gum.criteo.com,https://gum.criteo.com/sync?c=9&r=1&a=1&u=https%3A%2F%2Faa.agkn.com%2Fadscores%2Fg.pixel%3Fsid%3D9212273938%26ct%3D%40USERID%40
doradobet_home_mobile,Image,GET,dis.criteo.com,https://dis.criteo.com/dis/rtb/google/cookiematch.aspx?id=&CriteoUserId=[REDACTED]&google_error=3
doradobet_home_mobile,Image,GET,gum.criteo.com,https://gum.criteo.com/sync?c=9&r=1&a=1&u=https%3A%2F%2Faa.agkn.com%2Fadscores%2Fg.pixel%3Fsid%3D9212273938%26ct%3D%40USERID%40
doradobet_pwa_mobile,Script,GET,fpjscdn.net,https://fpjscdn.net/v4/PmGJOlgFXlEl6IqCC6Bi
doradobet_pwa_mobile,Fetch,GET,api.fpjs.io,https://api.fpjs.io/xridvya/qAo6p?q=PmGJOlgFXlEl6IqCC6Bi
doradobet_pwa_mobile,Fetch,POST,api.fpjs.io,https://api.fpjs.io/?ci=js/4.0.3&q=PmGJOlgFXlEl6IqCC6Bi
